order_id,date,day_name,hour,daypart,service_mode,payment_type,items,order_revenue,discount,order_size
120096,2025-04-13,Sunday,11,Lunch,Dine-In,Card,1,10.75,0.0,1 Item
120097,2025-07-31,Thursday,11,Lunch,Takeout,Card,2,12.4,0.0,2 Items
120098,2025-06-13,Friday,6,Breakfast,Dine-In,MobilePay,1,3.5,0.0,1 Item
120099,2025-04-11,Friday,8,Breakfast,Drive-Thru,Unknown,1,3.25,0.0,1 Item
120100,2025-06-24,Tuesday,18,Dinner,Delivery,Card,1,8.9,0.0,1 Item
120101,2025-06-27,Friday,20,Dinner,Dine-In,Card,1,9.03,0.0,1 Item
120102,2025-05-23,Friday,10,Breakfast,Drive-Thru,Card,1,4.39,0.73,1 Item
120103,2025-07-07,Monday,17,Afternoon,Takeout,Card,1,3.84,0.0,1 Item
120104,2025-06-17,Tuesday,12,Lunch,Dine-In,Card,1,9.76,0.0,1 Item
120105,2025-06-25,Wednesday,13,Lunch,Dine-In,Card,3,29.64,0.0,3 Items
120106,2025-05-28,Wednesday,14,Lunch,Drive-Thru,GiftCard,1,3.42,0.0,1 Item
120107,2025-05-12,Monday,20,Dinner,Unknown,Card,1,6.51,0.0,1 Item
120108,2025-07-20,Sunday,1,Late Night,Drive-Thru,Card,1,3.42,0.0,1 Item
120109,2025-04-24,Thursday,12,Lunch,Dine-In,Unknown,1,10.7,0.0,1 Item
120110,2025-05-19,Monday,14,Lunch,Drive-Thru,Unknown,1,5.04,0.0,1 Item
120111,2025-04-22,Tuesday,10,Breakfast,Drive-Thru,Card,3,10.39,0.0,3 Items
120112,2025-08-08,Friday,20,Dinner,Delivery,Card,1,6.2,0.0,1 Item
120113,2025-06-12,Thursday,13,Lunch,Takeout,Card,1,11.95,0.0,1 Item
120114,2025-07-15,Tuesday,19,Dinner,Drive-Thru,Card,1,10.02,0.0,1 Item
120115,2025-07-01,Tuesday,17,Afternoon,Dine-In,Card,1,2.99,0.0,1 Item
120116,2025-07-23,Wednesday,10,Breakfast,Drive-Thru,Card,1,1.91,0.0,1 Item
120117,2025-07-12,Saturday,18,Dinner,Drive-Thru,Card,1,9.49,0.0,1 Item
120118,2025-04-12,Saturday,15,Afternoon,Dine-In,Cash,1,1.58,0.37,1 Item
120119,2025-05-08,Thursday,20,Dinner,Drive-Thru,Cash,1,6.43,0.0,1 Item
120120,2025-06-26,Thursday,14,Lunch,Dine-In,Card,1,6.51,0.0,1 Item
120121,2025-07-23,Wednesday,14,Lunch,Dine-In,Cash,1,5.03,0.0,1 Item
120122,2025-05-30,Friday,19,Dinner,Drive-Thru,Card,2,4.43,0.0,2 Items
120123,2025-05-31,Saturday,20,Dinner,Takeout,Cash,1,5.06,0.0,1 Item
120124,2025-05-29,Thursday,12,Lunch,Dine-In,Cash,1,11.15,0.0,1 Item
120125,2025-05-19,Monday,1,Late Night,Drive-Thru,Card,1,7.05,0.0,1 Item
120126,2025-04-24,Thursday,12,Lunch,Dine-In,Unknown,1,8.71,0.0,1 Item
120127,2025-07-04,Friday,11,Lunch,Delivery,Card,3,15.44,0.0,3 Items
120128,2025-06-12,Thursday,23,Late Night,Takeout,MobilePay,1,3.93,0.9,1 Item
120129,2025-06-28,Saturday,17,Afternoon,Drive-Thru,MobilePay,1,2.96,0.0,1 Item
120130,2025-05-05,Monday,17,Afternoon,Drive-Thru,Card,1,2.15,0.0,1 Item
120131,2025-06-15,Sunday,6,Breakfast,Takeout,Cash,1,5.13,0.0,1 Item
120132,2025-05-22,Thursday,7,Breakfast,Drive-Thru,Card,1,3.16,0.0,1 Item
120133,2025-06-13,Friday,11,Morning,Dine-In,Cash,1,2.22,0.0,1 Item
120134,2025-07-06,Sunday,7,Breakfast,Dine-In,Card,1,1.83,0.0,1 Item
120135,2025-06-28,Saturday,1,Late Night,Delivery,Card,1,3.05,0.0,1 Item
120136,2025-05-01,Thursday,23,Late Night,Takeout,Cash,1,6.94,0.0,1 Item
120137,2025-04-30,Wednesday,21,Dinner,Dine-In,Card,1,6.02,0.0,1 Item
120138,2025-04-30,Wednesday,13,Lunch,Drive-Thru,Card,1,5.63,0.0,1 Item
120139,2025-06-15,Sunday,22,Late Night,Takeout,Cash,1,2.18,0.0,1 Item
120140,2025-04-11,Friday,10,Breakfast,Takeout,Card,1,2.22,0.0,1 Item
120141,2025-07-19,Saturday,17,Afternoon,Dine-In,Card,2,3.96,0.0,2 Items
120142,2025-08-09,Saturday,12,Lunch,Drive-Thru,Cash,2,8.53,0.0,2 Items
120143,2025-05-23,Friday,16,Afternoon,Takeout,MobilePay,1,2.78,0.0,1 Item
120144,2025-06-17,Tuesday,12,Lunch,Takeout,Card,1,9.76,0.0,1 Item
120145,2025-04-27,Sunday,8,Breakfast,Drive-Thru,Card,1,4.12,0.2,1 Item
120146,2025-07-26,Saturday,11,Lunch,Takeout,GiftCard,1,11.04,0.0,1 Item
120147,2025-04-27,Sunday,11,Lunch,Drive-Thru,Cash,1,5.33,0.0,1 Item
120148,2025-05-25,Sunday,12,Lunch,Dine-In,Cash,2,5.38,0.0,2 Items
120149,2025-06-29,Sunday,6,Breakfast,Drive-Thru,Card,1,4.06,0.0,1 Item
120150,2025-08-09,Saturday,11,Lunch,Delivery,Card,1,3.17,0.0,1 Item
120151,2025-04-17,Thursday,18,Dinner,Delivery,MobilePay,1,5.0,0.0,1 Item
120152,2025-06-24,Tuesday,7,Breakfast,Drive-Thru,Cash,1,3.1,0.15,1 Item
120153,2025-04-27,Sunday,15,Afternoon,Delivery,Card,2,5.85,0.0,2 Items
120154,2025-05-29,Thursday,5,Breakfast,Dine-In,Card,1,2.2,0.0,1 Item
120155,2025-07-23,Wednesday,12,Lunch,Dine-In,Cash,2,18.55,0.0,2 Items
120156,2025-07-26,Saturday,12,Lunch,Takeout,Cash,1,2.06,0.0,1 Item
120157,2025-08-08,Friday,16,Afternoon,Drive-Thru,MobilePay,2,7.1,0.0,2 Items
120158,2025-04-14,Monday,6,Breakfast,Delivery,Card,1,6.0,0.0,1 Item
120159,2025-05-17,Saturday,17,Afternoon,Dine-In,Card,1,4.19,0.0,1 Item
120160,2025-06-16,Monday,13,Lunch,Dine-In,GiftCard,1,9.52,0.0,1 Item
120161,2025-08-09,Saturday,18,Dinner,Dine-In,Card,2,12.09,0.0,2 Items
120162,2025-07-31,Thursday,11,Morning,Delivery,Card,2,3.64,0.85,2 Items
120163,2025-07-02,Wednesday,17,Afternoon,Takeout,Cash,2,3.58,0.0,2 Items
120164,2025-08-09,Saturday,1,Late Night,Drive-Thru,Card,1,2.82,0.29,1 Item
120165,2025-05-06,Tuesday,11,Lunch,Takeout,Cash,1,5.77,0.0,1 Item
120166,2025-07-06,Sunday,12,Lunch,Dine-In,MobilePay,1,6.48,0.0,1 Item
120167,2025-04-28,Monday,10,Breakfast,Drive-Thru,Cash,1,2.45,0.0,1 Item
120168,2025-05-30,Friday,19,Dinner,Dine-In,MobilePay,1,6.05,0.0,1 Item
120169,2025-07-31,Thursday,18,Dinner,Drive-Thru,Card,2,11.51,0.0,2 Items
120170,2025-05-14,Wednesday,8,Breakfast,Dine-In,Card,1,2.91,0.0,1 Item
120171,2025-04-18,Friday,10,Morning,Takeout,Card,1,1.83,0.0,1 Item
120172,2025-06-10,Tuesday,9,Breakfast,Drive-Thru,Card,1,3.41,0.0,1 Item
120173,2025-05-26,Monday,7,Breakfast,Drive-Thru,MobilePay,1,3.63,0.0,1 Item
120174,2025-08-09,Saturday,13,Lunch,Dine-In,Card,2,19.99,0.0,2 Items
120175,2025-06-23,Monday,1,Late Night,Delivery,Card,1,5.15,0.0,1 Item
120176,2025-04-27,Sunday,15,Afternoon,Delivery,Card,2,10.58,0.0,2 Items
120177,2025-07-22,Tuesday,20,Dinner,Dine-In,GiftCard,2,13.87,0.0,2 Items
120178,2025-08-03,Sunday,21,Dinner,Takeout,Card,1,9.11,0.0,1 Item
120179,2025-06-30,Monday,13,Lunch,Dine-In,MobilePay,2,13.8,0.0,2 Items
120180,2025-06-15,Sunday,15,Afternoon,Takeout,GiftCard,2,7.07,0.0,2 Items
120181,2025-04-26,Saturday,10,Breakfast,Takeout,Card,1,2.95,0.0,1 Item
120182,2025-06-23,Monday,19,Dinner,Dine-In,Card,1,5.32,0.0,1 Item
120183,2025-06-21,Saturday,9,Breakfast,Drive-Thru,MobilePay,1,4.09,0.0,1 Item
120184,2025-06-13,Friday,23,Late Night,Drive-Thru,Card,1,6.21,0.0,1 Item
120185,2025-05-31,Saturday,13,Lunch,Takeout,MobilePay,1,5.04,0.0,1 Item
120186,2025-07-28,Monday,16,Afternoon,Drive-Thru,MobilePay,1,3.23,0.0,1 Item
120187,2025-06-10,Tuesday,7,Breakfast,Dine-In,MobilePay,1,3.22,0.0,1 Item
120188,2025-06-17,Tuesday,10,Morning,Dine-In,MobilePay,2,9.05,0.0,2 Items
120189,2025-07-16,Wednesday,6,Breakfast,Dine-In,Card,1,1.53,0.0,1 Item
120190,2025-06-10,Tuesday,0,Late Night,Drive-Thru,Card,1,1.88,0.2,1 Item
120191,2025-07-24,Thursday,12,Lunch,Dine-In,Card,3,9.37,0.0,3 Items
120192,2025-06-20,Friday,18,Dinner,Drive-Thru,GiftCard,1,10.76,0.0,1 Item
120193,2025-06-04,Wednesday,10,Morning,Drive-Thru,Cash,1,1.76,0.0,1 Item
120194,2025-06-27,Friday,19,Dinner,Delivery,Card,2,6.99,0.0,2 Items
120195,2025-04-16,Wednesday,0,Late Night,Takeout,Card,1,1.6,0.0,1 Item
120196,2025-07-16,Wednesday,11,Lunch,Takeout,Card,1,4.56,0.0,1 Item
120197,2025-06-08,Sunday,20,Dinner,Dine-In,Card,1,9.17,0.0,1 Item
120198,2025-06-09,Monday,14,Lunch,Takeout,Cash,1,2.62,0.0,1 Item
120199,2025-04-26,Saturday,5,Breakfast,Takeout,Cash,1,3.73,0.0,1 Item
120200,2025-07-24,Thursday,19,Dinner,Delivery,Card,1,5.88,0.0,1 Item
120201,2025-06-17,Tuesday,16,Afternoon,Takeout,Card,1,5.52,0.0,1 Item
120202,2025-05-22,Thursday,11,Lunch,Drive-Thru,Card,3,32.32,0.0,3 Items
120203,2025-08-08,Friday,10,Morning,Drive-Thru,Cash,1,2.24,0.0,1 Item
120204,2025-07-18,Friday,5,Breakfast,Takeout,Cash,2,5.72,0.0,2 Items
120205,2025-05-08,Thursday,10,Morning,Takeout,Card,1,1.8,0.0,1 Item
120206,2025-04-15,Tuesday,9,Breakfast,Drive-Thru,Card,2,13.18,0.0,2 Items
120207,2025-04-20,Sunday,10,Breakfast,Drive-Thru,Cash,1,3.4,0.0,1 Item
120208,2025-05-30,Friday,18,Dinner,Drive-Thru,Card,1,9.45,0.0,1 Item
120209,2025-07-30,Wednesday,21,Dinner,Delivery,Card,3,31.77,0.0,3 Items
120210,2025-05-20,Tuesday,0,Late Night,Drive-Thru,Cash,2,6.1,0.0,2 Items
120211,2025-05-04,Sunday,10,Breakfast,Takeout,MobilePay,1,3.14,0.0,1 Item
120212,2025-07-16,Wednesday,15,Afternoon,Takeout,Card,1,3.25,0.0,1 Item
120213,2025-05-07,Wednesday,5,Breakfast,Takeout,Cash,2,3.4,0.0,2 Items
120214,2025-04-14,Monday,23,Late Night,Drive-Thru,GiftCard,1,2.79,0.0,1 Item
120215,2025-05-22,Thursday,11,Morning,Drive-Thru,Card,1,3.7,0.0,1 Item
120216,2025-04-17,Thursday,17,Afternoon,Drive-Thru,Cash,1,1.8,0.0,1 Item
120217,2025-07-03,Thursday,15,Afternoon,Dine-In,MobilePay,2,10.75,0.0,2 Items
120218,2025-06-21,Saturday,21,Dinner,Dine-In,Cash,1,4.72,0.0,1 Item
120219,2025-07-15,Tuesday,19,Dinner,Unknown,Cash,1,5.88,0.0,1 Item
120220,2025-07-21,Monday,18,Dinner,Takeout,Card,1,4.1,0.0,1 Item
120221,2025-06-01,Sunday,9,Breakfast,Takeout,MobilePay,1,4.79,0.0,1 Item
120222,2025-04-16,Wednesday,12,Lunch,Drive-Thru,Card,1,10.95,0.0,1 Item
120223,2025-05-18,Sunday,12,Lunch,Dine-In,Card,1,2.26,0.23,1 Item
120224,2025-04-11,Friday,15,Afternoon,Dine-In,Card,1,2.75,0.0,1 Item
120225,2025-08-07,Thursday,14,Lunch,Takeout,Cash,1,10.29,0.0,1 Item
120226,2025-04-26,Saturday,11,Lunch,Takeout,Card,1,6.08,0.0,1 Item
120227,2025-05-30,Friday,12,Lunch,Dine-In,Cash,1,10.21,0.0,1 Item
120228,2025-07-16,Wednesday,18,Dinner,Drive-Thru,MobilePay,1,2.75,0.13,1 Item
120229,2025-05-22,Thursday,5,Breakfast,Takeout,Card,1,5.64,0.0,1 Item
120230,2025-06-24,Tuesday,10,Morning,Takeout,Card,1,1.79,0.0,1 Item
120231,2025-04-17,Thursday,18,Dinner,Delivery,MobilePay,2,22.12,0.0,2 Items
120232,2025-07-03,Thursday,19,Dinner,Takeout,Card,2,18.21,0.0,2 Items
120233,2025-06-09,Monday,20,Dinner,Drive-Thru,Card,1,5.82,0.0,1 Item
120234,2025-06-04,Wednesday,20,Dinner,Dine-In,Card,1,6.58,0.0,1 Item
120235,2025-06-09,Monday,11,Lunch,Dine-In,Card,1,5.08,0.0,1 Item
120236,2025-06-09,Monday,14,Lunch,Dine-In,MobilePay,1,4.17,0.0,1 Item
120237,2025-05-29,Thursday,17,Afternoon,Delivery,Card,1,2.93,0.0,1 Item
120238,2025-06-05,Thursday,16,Afternoon,Delivery,MobilePay,1,1.91,0.0,1 Item
120239,2025-04-16,Wednesday,9,Breakfast,Drive-Thru,Card,1,2.26,0.0,1 Item
120240,2025-05-12,Monday,21,Dinner,Takeout,Cash,1,5.41,0.0,1 Item
120241,2025-05-11,Sunday,10,Morning,Dine-In,Card,1,3.33,0.0,1 Item
120242,2025-06-20,Friday,23,Late Night,Drive-Thru,Card,3,22.23,0.0,3 Items
120243,2025-06-05,Thursday,8,Breakfast,Drive-Thru,Cash,1,2.19,0.0,1 Item
120244,2025-08-05,Tuesday,10,Breakfast,Drive-Thru,Cash,2,9.68,0.0,2 Items
120245,2025-06-05,Thursday,19,Dinner,Delivery,Card,1,9.9,0.0,1 Item
120246,2025-05-31,Saturday,20,Dinner,Delivery,Card,1,6.59,0.0,1 Item
120247,2025-07-26,Saturday,13,Lunch,Drive-Thru,Card,1,9.68,0.0,1 Item
120248,2025-06-22,Sunday,10,Morning,Dine-In,Card,1,4.48,0.0,1 Item
120249,2025-06-25,Wednesday,12,Lunch,Dine-In,MobilePay,1,10.18,0.0,1 Item
120250,2025-07-25,Friday,18,Dinner,Takeout,Card,1,2.72,0.0,1 Item
120251,2025-06-03,Tuesday,8,Breakfast,Dine-In,Unknown,3,12.33,0.0,3 Items
120252,2025-07-07,Monday,15,Afternoon,Dine-In,Card,1,2.67,0.0,1 Item
120253,2025-05-09,Friday,20,Dinner,Delivery,MobilePay,1,5.04,1.15,1 Item
120254,2025-05-30,Friday,11,Lunch,Delivery,Card,1,3.03,0.0,1 Item
120255,2025-05-24,Saturday,19,Dinner,Delivery,Card,1,1.99,0.0,1 Item
120256,2025-04-13,Sunday,16,Afternoon,Takeout,Card,1,1.92,0.0,1 Item
120257,2025-06-04,Wednesday,21,Dinner,Dine-In,Card,2,19.04,0.0,2 Items
120258,2025-06-20,Friday,9,Breakfast,Dine-In,Cash,1,3.71,0.0,1 Item
120259,2025-06-29,Sunday,21,Dinner,Delivery,Card,1,9.68,0.0,1 Item
120260,2025-06-09,Monday,19,Dinner,Takeout,Card,1,0.0,0.0,1 Item
120261,2025-04-29,Tuesday,20,Dinner,Drive-Thru,Card,1,6.1,0.0,1 Item
120262,2025-05-14,Wednesday,20,Dinner,Drive-Thru,Cash,1,7.62,0.0,1 Item
120263,2025-08-07,Thursday,23,Late Night,Takeout,Cash,1,3.08,0.0,1 Item
120264,2025-04-24,Thursday,12,Lunch,Drive-Thru,Card,2,17.72,0.0,2 Items
120265,2025-05-07,Wednesday,10,Morning,Drive-Thru,Card,1,3.11,0.0,1 Item
120266,2025-04-21,Monday,19,Dinner,Delivery,Card,1,6.35,0.0,1 Item
120267,2025-06-07,Saturday,10,Morning,Takeout,GiftCard,1,3.15,0.0,1 Item
120268,2025-06-14,Saturday,19,Dinner,Takeout,Cash,1,5.99,0.0,1 Item
120269,2025-05-25,Sunday,19,Dinner,Dine-In,Card,1,6.09,0.0,1 Item
120270,2025-06-02,Monday,16,Afternoon,Delivery,MobilePay,1,5.83,0.0,1 Item
120271,2025-07-16,Wednesday,5,Breakfast,Drive-Thru,Card,1,4.88,0.0,1 Item
120272,2025-08-02,Saturday,20,Dinner,Drive-Thru,Card,1,5.77,0.28,1 Item
120273,2025-06-03,Tuesday,10,Morning,Drive-Thru,Card,1,2.65,0.0,1 Item
120274,2025-05-25,Sunday,14,Lunch,Drive-Thru,Card,1,2.22,0.0,1 Item
120275,2025-06-13,Friday,14,Lunch,Drive-Thru,GiftCard,1,10.96,0.0,1 Item
120276,2025-05-28,Wednesday,12,Lunch,Takeout,Card,1,6.88,0.0,1 Item
120277,2025-04-26,Saturday,10,Breakfast,Drive-Thru,Card,1,5.08,0.0,1 Item
120278,2025-07-11,Friday,18,Dinner,Delivery,Card,1,9.67,0.0,1 Item
120279,2025-07-12,Saturday,14,Lunch,Takeout,Card,1,4.64,0.0,1 Item
120280,2025-05-18,Sunday,12,Lunch,Drive-Thru,Card,1,5.78,0.0,1 Item
120281,2025-07-19,Saturday,20,Dinner,Drive-Thru,Card,1,6.08,0.0,1 Item
120282,2025-04-20,Sunday,20,Dinner,Delivery,Card,1,9.95,0.0,1 Item
120283,2025-04-16,Wednesday,11,Lunch,Dine-In,Card,1,9.23,0.0,1 Item
120284,2025-04-18,Friday,14,Lunch,Takeout,Cash,1,5.62,0.57,1 Item
120285,2025-06-20,Friday,12,Lunch,Delivery,Card,1,4.88,0.79,1 Item
120286,2025-06-20,Friday,12,Lunch,Takeout,GiftCard,1,10.75,0.0,1 Item
120287,2025-05-14,Wednesday,15,Afternoon,Takeout,Cash,4,7.66,0.0,4+ Items
120288,2025-04-24,Thursday,10,Morning,Drive-Thru,MobilePay,1,1.89,0.0,1 Item
120289,2025-05-29,Thursday,10,Morning,Dine-In,Card,1,1.91,0.0,1 Item
120290,2025-08-08,Friday,20,Dinner,Drive-Thru,GiftCard,2,21.56,0.0,2 Items
120291,2025-06-22,Sunday,20,Dinner,Drive-Thru,Card,1,9.26,0.0,1 Item
120292,2025-05-21,Wednesday,11,Lunch,Takeout,MobilePay,1,10.28,0.0,1 Item
120293,2025-05-02,Friday,9,Breakfast,Delivery,Card,1,3.49,0.0,1 Item
