date,day_name,dayofweek,is_weekend,orders,units_sold,revenue,discount,revenue_orders,avg_order_value
2025-06-20,Friday,4,0,21,26,147.79,3.2,20,7.3895
2025-06-21,Saturday,5,1,14,19,90.58,0.42,14,6.47
2025-06-22,Sunday,6,1,18,23,121.86,1.32,18,6.77
2025-06-23,Monday,0,0,14,16,69.19,0.0,14,4.942142857142857
2025-06-24,Tuesday,1,0,15,17,85.96000000000001,1.81,15,5.730666666666667
2025-06-25,Wednesday,2,0,20,27,145.33,0.31,19,7.648947368421053
2025-06-26,Thursday,3,0,16,19,96.22,0.55,16,6.01375
2025-06-27,Friday,4,0,16,23,106.78,1.1199999999999999,16,6.67375
2025-06-28,Saturday,5,1,17,18,96.79,0.87,17,5.693529411764707
2025-06-29,Sunday,6,1,12,13,77.98,0.0,12,6.498333333333334
2025-06-30,Monday,0,0,11,14,74.41,0.0,11,6.764545454545455
2025-07-01,Tuesday,1,0,15,21,105.09,2.14,15,7.006
2025-07-02,Wednesday,2,0,16,20,94.36,1.74,16,5.8975
2025-07-03,Thursday,3,0,11,15,69.29,0.52,11,6.29909090909091
2025-07-04,Friday,4,0,15,17,88.96,1.2,15,5.930666666666666
2025-07-05,Saturday,5,1,18,22,102.39,1.0,18,5.6883333333333335
2025-07-06,Sunday,6,1,13,15,59.71,0.0,13,4.593076923076923
2025-07-07,Monday,0,0,15,21,109.15,0.0,15,7.276666666666667
2025-07-08,Tuesday,1,0,8,9,69.34,0.0,8,8.6675
2025-07-09,Wednesday,2,0,16,21,123.97,0.36,16,7.748125
2025-07-10,Thursday,3,0,8,9,58.14,0.52,8,7.2675
2025-07-11,Friday,4,0,12,18,121.54,0.0,12,10.128333333333334
2025-07-12,Saturday,5,1,14,18,104.66,0.86,14,7.475714285714285
2025-07-13,Sunday,6,1,15,18,92.21,0.0,15,6.147333333333333
2025-07-14,Monday,0,0,9,13,75.73,1.6400000000000001,9,8.414444444444445
2025-07-15,Tuesday,1,0,11,13,80.00999999999999,0.0,11,7.273636363636363
2025-07-16,Wednesday,2,0,24,27,127.42,0.43,24,5.309166666666667
2025-07-17,Thursday,3,0,14,18,104.16,0.0,14,7.4399999999999995
2025-07-18,Friday,4,0,10,11,49.94,0.21,10,4.994
2025-07-19,Saturday,5,1,15,19,110.24,0.0,15,7.349333333333333
2025-07-20,Sunday,6,1,11,13,55.650000000000006,1.86,11,5.0590909090909095
2025-07-21,Monday,0,0,12,16,63.660000000000004,2.21,12,5.305000000000001
2025-07-22,Tuesday,1,0,15,18,93.88,0.18,15,6.258666666666667
2025-07-23,Wednesday,2,0,10,13,69.5,1.2200000000000002,10,6.95
2025-07-24,Thursday,3,0,13,18,67.32,1.72,13,5.178461538461538
2025-07-25,Friday,4,0,14,16,93.93,0.0,14,6.7092857142857145
2025-07-26,Saturday,5,1,12,13,67.24,0.54,12,5.603333333333333
2025-07-27,Sunday,6,1,10,14,97.31,0.0,10,9.731
2025-07-28,Monday,0,0,20,25,113.8,0.93,20,5.6899999999999995
2025-07-29,Tuesday,1,0,8,12,44.56,0.62,8,5.57
2025-07-30,Wednesday,2,0,17,21,123.53999999999999,0.19,17,7.267058823529411
2025-07-31,Thursday,3,0,19,24,135.26,3.59,19,7.118947368421052
2025-08-01,Friday,4,0,14,16,67.39,0.7899999999999999,14,4.813571428571429
2025-08-02,Saturday,5,1,15,17,116.99,1.33,15,7.799333333333333
2025-08-03,Sunday,6,1,16,24,130.7,3.01,16,8.16875
2025-08-04,Monday,0,0,12,14,67.84,0.24,12,5.653333333333333
2025-08-05,Tuesday,1,0,10,16,97.85000000000001,0.0,10,9.785
2025-08-06,Wednesday,2,0,14,20,99.74000000000001,0.11,14,7.1242857142857146
2025-08-07,Thursday,3,0,18,23,108.61,0.0,18,6.033888888888889
2025-08-08,Friday,4,0,21,27,188.01,0.73,21,8.952857142857143
2025-08-09,Saturday,5,1,16,23,137.62,0.9600000000000001,16,8.60125
