menu_item,orders,quantity_sold,revenue,discount,category,selling_price,ingredient_cost,packaging_cost,labor_cost,total_cogs,food_cost_pct,supplier,total_cost,gross_profit,profit_margin_pct,avg_revenue_per_order,sales_level,profitability_level,menu_classification
Coffee,82,98,217.64,2.74,Beverage,1.93,0.27,0.03,0.04,0.34,17.6,Beverage Distributors,33.32,184.32,84.69031428046316,2.6541463414634143,High,High,Star
Soft Drink (Medium),64,101,198.59,3.35,Other,1.75,0.46,0.06,0.06,0.58,33.1,Prime Foods,58.58,140.01,70.50203937761216,3.10296875,High,High,Star
Chicken Nuggets (6pc),31,44,174.56,0.6,Other,3.76,1.0,0.12,0.13,1.25,33.2,Prime Foods,55.0,119.56,68.49220898258478,5.630967741935484,Low,Low,Dog
Latte,40,47,172.14,3.03,Other,3.29,0.83,0.1,0.11,1.04,31.6,Prime Foods,48.88,123.26,71.60450795863832,4.3035,Low,High,Hidden Gem
Sausage Biscuit,37,47,164.64,1.7799999999999998,Other,3.0,0.81,0.1,0.1,1.01,33.7,Prime Foods,47.47,117.17,71.16739552964042,4.44972972972973,Low,High,Hidden Gem
Milkshake,28,35,152.1,1.95,Other,4.01,1.06,0.13,0.13,1.32,32.9,Prime Foods,46.2,105.9,69.62524654832347,5.432142857142857,Low,Low,Dog
Pancake Platter,21,24,128.06,1.04,Other,4.89,1.38,0.17,0.18,1.73,35.4,Prime Foods,41.52,86.54,67.57769795408403,6.098095238095239,Low,Low,Dog
Hash Browns,46,51,123.69,0.0,Other,1.9,0.46,0.06,0.05,0.57,29.9,Prime Foods,29.07,94.62,76.49769585253456,2.688913043478261,Low,High,Hidden Gem
Ice Cream Cone,30,42,84.83,0.0,Other,1.63,0.46,0.06,0.06,0.58,35.6,Prime Foods,24.36,60.47,71.28374395850524,2.8276666666666666,Low,High,Hidden Gem
Iced Tea,31,38,84.27,0.73,Beverage,1.89,0.3,0.04,0.03,0.37,19.6,Beverage Distributors,14.06,70.21,83.31553340453304,2.718387096774193,Low,High,Hidden Gem
Bottled Water,40,45,76.3,1.62,Other,1.43,0.4,0.05,0.05,0.5,35.0,Prime Foods,22.5,53.8,70.51114023591087,1.9075,Low,High,Hidden Gem
Side Salad,17,21,63.11,0.3,Other,2.9,0.82,0.1,0.11,1.03,35.5,Prime Foods,21.63,41.48,65.7265092695294,3.712352941176471,Low,Low,Dog
Soft Drink (Large),17,26,57.23,1.34,Other,1.99,0.52,0.07,0.06,0.65,32.7,Prime Foods,16.900000000000002,40.33,70.47003319937096,3.366470588235294,Low,Low,Dog
Soft Drink (Small),16,22,42.8,0.11,Other,1.54,0.41,0.05,0.05,0.51,33.0,Prime Foods,11.22,31.58,73.78504672897196,2.675,Low,High,Hidden Gem
Brownie,10,10,21.7,0.18,Other,1.85,0.45,0.06,0.05,0.56,30.3,Prime Foods,5.6000000000000005,16.099999999999998,74.19354838709677,2.17,Low,High,Hidden Gem
Apple Pie,9,10,18.51,0.69,Other,1.54,0.38,0.05,0.05,0.48,31.2,Prime Foods,4.8,13.71,74.06807131280388,2.056666666666666,Low,High,Hidden Gem
