order_id,store_id,transaction_datetime,business_day,daypart,service_mode,menu_item,modifier,quantity,unit_price,discount,tax,total_amount,payment_type,date,year,month,month_name,day,day_name,hour,dayofweek,week,quarter,is_weekend
120014,201,2025-04-11 12:37:38,2025-04-11,Lunch,Dine-In,Spicy Chicken Combo,,1,8.43,0.0,0.67,9.1,Card,2025-04-11,2025,4,April,11,Friday,12,4,15,2,0
120015,102,2025-05-22 09:06:04,2025-05-22,Breakfast,Delivery,Egg Muffin,,1,3.1,0.0,0.23,3.33,Card,2025-05-22,2025,5,May,22,Thursday,9,3,21,2,0
120016,403,2025-04-27 09:19:59,2025-04-27,Breakfast,Drive-Thru,Egg Muffin,,1,2.99,0.0,0.22,3.21,MobilePay,2025-04-27,2025,4,April,27,Sunday,9,6,17,2,1
120017,403,2025-04-16 11:05:40,2025-04-16,Lunch,Takeout,Cheeseburger,,1,4.59,0.0,,5.0,Card,2025-04-16,2025,4,April,16,Wednesday,11,2,16,2,0
120018,403,2025-06-23 09:35:09,2025-06-23,Breakfast,Takeout,Sausage Biscuit,Extra Egg,2,2.81,0.0,0.55,8.17,Card,2025-06-23,2025,6,June,23,Monday,9,0,26,2,0
120019,103,2025-07-10 19:51:51,2025-07-10,Dinner,Dine-In,Chicken Sandwich,Extra Sauce,1,4.87,0.0,0.37,5.49,Card,2025-07-10,2025,7,July,10,Thursday,19,3,28,3,0
120020,201,2025-04-14 11:22:19,2025-04-14,Morning,Drive-Thru,Coffee,Sugar-Free Syrup,1,2.18,0.0,0.19,2.67,MobilePay,2025-04-14,2025,4,April,14,Monday,11,0,16,2,0
120021,101,2025-07-07 06:37:16,2025-07-07,Breakfast,Dine-In,Sausage Biscuit,Cinnamon,1,2.98,0.0,0.26,3.34,Cash,2025-07-07,2025,7,July,7,Monday,6,0,28,3,0
120022,403,2025-04-11 17:47:42,2025-04-11,Afternoon,Dine-In,Ice Cream Cone,Cinnamon,1,1.65,0.0,0.13,1.88,Card,2025-04-11,2025,4,April,11,Friday,17,4,15,2,0
120023,201,2025-04-11 14:43:47,2025-04-11,Lunch,Drive-Thru,Spicy Chicken Sandwich,No Pickles,1,5.09,0.0,0.41,5.5,Cash,2025-04-11,2025,4,April,11,Friday,14,4,15,2,0
120024,103,2025-07-04 17:42:40,2025-07-04,Afternoon,Takeout,Ice Cream Cone,,1,1.58,0.0,0.11,1.69,Card,2025-07-04,2025,7,July,4,Friday,17,4,27,3,0
120025,401,2025-05-28 19:45:44,2025-05-28,Dinner,Takeout,Chicken Sandwich,Extra Cheese,1,5.43,0.0,0.56,6.49,Card,2025-05-28,2025,5,May,28,Wednesday,19,2,22,2,0
120026,402,2025-05-30 17:20:48,2025-05-30,Afternoon,Drive-Thru,Milkshake,Cinnamon,1,3.61,0.0,0.33,4.04,Cash,2025-05-30,2025,5,May,30,Friday,17,4,22,2,0
120027,402,2025-07-05 16:04:45,2025-07-05,Afternoon,Dine-In,French Fries,Small Size,1,2.75,0.0,0.17,2.62,Card,2025-07-05,2025,7,July,5,Saturday,16,5,27,3,1
120028,201,2025-06-21 18:54:56,2025-06-21,Dinner,Drive-Thru,Cheeseburger,,1,4.29,0.0,0.36,4.65,Card,2025-06-21,2025,6,June,21,Saturday,18,5,25,2,1
120029,202,2025-08-06 14:21:42,2025-08-06,Lunch,Delivery,Chicken Sandwich,No Onions,3,5.28,0.0,1.35,17.19,Card,2025-08-06,2025,8,August,6,Wednesday,14,2,32,3,0
120030,103,2025-06-22 07:13:29,2025-06-22,Breakfast,Takeout,Sausage Biscuit,,1,2.89,0.15,0.27,3.11,Cash,2025-06-22,2025,6,June,22,Sunday,7,6,25,2,1
120031,101,2025-07-09 19:53:01,2025-07-09,Dinner,Delivery,Cheeseburger Combo,,2,9.42,0.0,1.41,20.25,Card,2025-07-09,2025,7,July,9,Wednesday,19,2,28,3,0
120032,103,2025-07-27 22:59:19,2025-07-27,Late Night,Drive-Thru,Spicy Chicken Sandwich,,1,5.63,0.0,0.48,7.11,MobilePay,2025-07-27,2025,7,July,27,Sunday,22,6,30,3,1
120033,501,2025-06-26 21:42:23,2025-06-26,Dinner,Dine-In,Cheeseburger,,1,4.14,0.0,0.33,4.47,Cash,2025-06-26,2025,6,June,26,Thursday,21,3,26,2,0
120034,202,2025-04-14 17:49:30,2025-04-14,Afternoon,Takeout,Iced Tea,,1,2.0,0.0,0.15,2.15,MobilePay,2025-04-14,2025,4,April,14,Monday,17,0,16,2,0
120035,101,2025-06-29 12:31:13,2025-06-29,Lunch,Takeout,Chicken Sandwich,,1,4.94,0.0,0.43,6.37,Card,2025-06-29,2025,6,June,29,Sunday,12,6,26,2,1
120036,402,2025-08-07 11:18:14,2025-08-07,Lunch,Takeout,Spicy Chicken Combo,,1,9.39,0.0,0.89,10.28,Card,2025-08-07,2025,8,August,7,Thursday,11,3,32,3,0
120037,201,2025-05-06 12:12:13,2025-05-06,Lunch,Drive-Thru,Chicken Sandwich Combo,Spicy,1,8.01,0.0,0.58,8.59,Card,2025-05-06,2025,5,May,6,Tuesday,12,1,19,2,0
120038,101,2025-05-31 00:44:08,2025-05-31,Late Night,Drive-Thru,Cheeseburger,,1,4.05,0.0,0.32,4.37,Cash,2025-05-31,2025,5,May,31,Saturday,0,5,22,2,1
120039,401,2025-05-28 11:09:09,2025-05-28,Lunch,Drive-Thru,Cheeseburger,,1,4.56,0.0,0.33,4.89,MobilePay,2025-05-28,2025,5,May,28,Wednesday,11,2,22,2,0
120040,401,2025-05-22 11:39:47,2025-05-22,Lunch,Dine-In,Chicken Sandwich Combo,,1,9.36,0.0,0.89,10.25,Unknown,2025-05-22,2025,5,May,22,Thursday,11,3,21,2,0
120041,201,2025-07-04 14:04:43,2025-07-04,Lunch,Dine-In,Double Cheeseburger Combo,,1,10.08,0.0,0.66,10.74,Card,2025-07-04,2025,7,July,4,Friday,14,4,27,3,0
120042,103,2025-05-25 20:28:07,2025-05-25,Dinner,Takeout,Cheeseburger Combo,,1,8.43,0.0,0.51,8.94,Card,2025-05-25,2025,5,May,25,Sunday,20,6,21,2,1
120043,501,2025-08-07 17:52:17,2025-08-07,Afternoon,Takeout,Chicken Nuggets (10pc),,1,4.89,0.0,0.42,5.31,Cash,2025-08-07,2025,8,August,7,Thursday,17,3,32,3,0
120044,102,2025-06-28 21:44:31,2025-06-28,Dinner,Unknown,Double Cheeseburger Combo,,1,9.25,0.0,0.74,9.99,MobilePay,2025-06-28,2025,6,June,28,Saturday,21,5,26,2,1
120045,403,2025-08-03 12:33:23,2025-08-03,Lunch,Delivery,Cheeseburger Combo,,1,8.13,0.0,0.61,8.74,Card,2025-08-03,2025,8,August,3,Sunday,12,6,31,3,1
120046,201,2025-07-01 18:35:26,2025-07-01,Dinner,Dine-In,Onion Rings,Large Size,1,3.01,0.0,0.27,3.88,GiftCard,2025-07-01,2025,7,July,1,Tuesday,18,1,27,3,0
120047,403,2025-07-16 09:32:47,2025-07-16,Breakfast,Drive-Thru,Hash Browns,Cinnamon,1,2.1,0.0,0.16,2.36,MobilePay,2025-07-16,2025,7,July,16,Wednesday,9,2,29,3,0
120048,402,2025-06-13 21:22:21,2025-06-13,Dinner,Delivery,Cheeseburger Combo,,1,8.66,0.0,0.74,9.4,Card,2025-06-13,2025,6,June,13,Friday,21,4,24,2,0
120049,401,2025-05-17 12:31:02,2025-05-17,Lunch,Dine-In,Spicy Chicken Sandwich,,2,4.96,1.98,0.48,8.42,GiftCard,2025-05-17,2025,5,May,17,Saturday,12,5,20,2,1
120050,202,2025-05-13 14:41:05,2025-05-13,Lunch,Drive-Thru,French Fries,No Sauce,1,2.73,0.0,0.25,2.98,MobilePay,2025-05-13,2025,5,May,13,Tuesday,14,1,20,2,0
120051,201,2025-06-15 18:48:40,2025-06-15,Dinner,Delivery,Chicken Sandwich,,1,5.25,0.0,0.32,5.57,Card,2025-06-15,2025,6,June,15,Sunday,18,6,24,2,1
120052,103,2025-07-30 09:55:24,2025-07-30,Breakfast,Drive-Thru,Soft Drink (Small),,1,1.48,0.0,0.11,1.59,Card,2025-07-30,2025,7,July,30,Wednesday,9,2,31,3,0
120053,102,2025-06-26 13:40:27,2025-06-26,Lunch,Delivery,Spicy Chicken Sandwich,Extra Patty,1,5.87,0.0,0.63,8.5,Card,2025-06-26,2025,6,June,26,Thursday,13,3,26,2,0
120054,202,2025-04-21 10:49:47,2025-04-21,Breakfast,Drive-Thru,Coffee,Extra Ice,1,2.1,0.0,0.17,2.27,MobilePay,2025-04-21,2025,4,April,21,Monday,10,0,17,2,0
120055,103,2025-04-16 17:41:02,2025-04-16,Afternoon,Takeout,Iced Tea,,2,2.01,0.0,0.34,4.36,Card,2025-04-16,2025,4,April,16,Wednesday,17,2,16,2,0
120056,202,2025-07-08 21:51:18,2025-07-08,Dinner,Drive-Thru,Double Cheeseburger,,1,5.39,0.0,0.46,5.85,Card,2025-07-08,2025,7,July,8,Tuesday,21,1,28,3,0
120057,403,2025-06-23 10:47:43,2025-06-23,Breakfast,Takeout,Pancake Platter,No Cheese,1,4.89,0.0,0.46,5.35,Card,2025-06-23,2025,6,June,23,Monday,10,0,26,2,0
120058,202,2025-07-26 15:02:02,2025-07-26,Afternoon,Takeout,Chicken Nuggets (6pc),,1,3.82,0.0,0.36,4.18,Card,2025-07-26,2025,7,July,26,Saturday,15,5,30,3,1
120059,402,2025-04-11 16:02:44,2025-04-11,Afternoon,Takeout,Ice Cream Cone,,3,1.75,0.0,0.54,7.29,Card,2025-04-11,2025,4,April,11,Friday,16,4,15,2,0
120060,102,2025-05-19 17:38:01,2025-05-19,Afternoon,Dine-In,Ice Cream Cone,Caramel Topping,1,1.58,0.0,0.15,2.23,Card,2025-05-19,2025,5,May,19,Monday,17,0,21,2,0
120061,501,2025-04-22 06:08:34,2025-04-22,Breakfast,Takeout,Pancake Platter,,1,4.93,0.0,0.36,5.29,Unknown,2025-04-22,2025,4,April,22,Tuesday,6,1,17,2,0
120062,102,2025-06-10 21:49:23,2025-06-10,Dinner,Takeout,Cheeseburger Combo,,1,7.94,0.0,0.75,8.69,Card,2025-06-10,2025,6,June,10,Tuesday,21,1,24,2,0
120063,401,2025-06-08 17:58:28,2025-06-08,Afternoon,Dine-In,Iced Tea,,1,1.73,0.0,0.16,1.89,Card,2025-06-08,2025,6,June,8,Sunday,17,6,23,2,1
120064,401,2025-05-12 05:54:41,2025-05-12,Breakfast,Drive-Thru,Coffee,,1,2.05,0.0,0.16,2.21,Cash,2025-05-12,2025,5,May,12,Monday,5,0,20,2,0
120065,202,2025-07-21 14:04:05,2025-07-21,Lunch,Drive-Thru,Cheeseburger,,1,4.94,0.0,0.47,5.41,Card,2025-07-21,2025,7,July,21,Monday,14,0,30,3,0
120066,401,2025-05-09 18:18:38,2025-05-09,Dinner,Dine-In,Cheeseburger Combo,,1,8.45,0.0,0.68,9.13,Card,2025-05-09,2025,5,May,9,Friday,18,4,19,2,0
120067,403,2025-04-27 22:38:59,2025-04-27,Late Night,Drive-Thru,Cheeseburger,,1,4.82,0.0,0.39,5.21,Cash,2025-04-27,2025,4,April,27,Sunday,22,6,17,2,1
120068,101,2025-06-03 06:24:26,2025-06-03,Breakfast,Takeout,Sausage Biscuit,,2,3.13,0.0,0.38,6.64,Card,2025-06-03,2025,6,June,3,Tuesday,6,1,23,2,0
120069,401,2025-06-14 14:17:13,2025-06-14,Lunch,Drive-Thru,Cheeseburger Combo,,1,8.17,0.0,0.61,8.78,Card,2025-06-14,2025,6,June,14,Saturday,14,5,24,2,1
120070,201,2025-05-04 20:18:20,2025-05-04,Dinner,Dine-In,Cheeseburger Combo,,1,8.67,0.0,0.82,9.49,Card,2025-05-04,2025,5,May,4,Sunday,20,6,18,2,1
120071,101,2025-07-31 13:36:27,2025-07-31,Lunch,Takeout,Cheeseburger Combo,,1,9.26,0.0,0.83,10.09,Cash,2025-07-31,2025,7,July,31,Thursday,13,3,31,3,0
120072,501,2025-07-30 14:55:19,2025-07-30,Lunch,Drive-Thru,Double Cheeseburger Combo,,1,9.97,0.0,0.72,10.69,Card,2025-07-30,2025,7,July,30,Wednesday,14,2,31,3,0
120073,201,2025-07-08 06:11:38,2025-07-08,Breakfast,Dine-In,Egg Muffin,Cinnamon,1,3.63,0.0,0.34,4.07,MobilePay,2025-07-08,2025,7,July,8,Tuesday,6,1,28,3,0
120074,301,2025-08-01 08:28:40,2025-08-01,Breakfast,Takeout,Egg Muffin,,1,2.59,0.57,0.24,3.46,Card,2025-08-01,2025,8,August,1,Friday,8,4,31,3,0
120075,402,2025-04-30 17:57:02,2025-04-30,Afternoon,Takeout,Milkshake,,1,4.26,0.0,0.26,4.52,MobilePay,2025-04-30,2025,4,April,30,Wednesday,17,2,18,2,0
120076,103,2025-05-11 08:28:33,2025-05-11,Breakfast,Delivery,Sausage Biscuit,,1,3.06,0.0,0.18,3.24,Card,2025-05-11,2025,5,May,11,Sunday,8,6,19,2,1
120077,202,2025-04-22 10:21:05,2025-04-22,Morning,Takeout,Latte,Almond Milk,1,3.17,0.0,0.25,4.12,Card,2025-04-22,2025,4,April,22,Tuesday,10,1,17,2,0
120078,403,2025-05-16 08:32:23,2025-05-16,Breakfast,Dine-In,Milkshake,,1,4.02,0.0,0.28,4.3,Card,2025-05-16,2025,5,May,16,Friday,8,4,20,2,0
120079,403,2025-06-27 09:08:38,2025-06-27,Breakfast,Takeout,Latte,Light Ice,1,2.74,0.41,0.17,2.5,Card,2025-06-27,2025,6,June,27,Friday,9,4,26,2,0
120080,201,2025-04-28 14:57:53,2025-04-28,Lunch,Dine-In,Chicken Sandwich Combo,Gluten-Free Bun,1,8.88,0.0,0.84,10.72,Cash,2025-04-28,2025,4,April,28,Monday,14,0,18,2,0
120081,402,2025-05-31 18:45:54,2025-05-31,Dinner,Takeout,Double Cheeseburger,,1,5.89,0.0,0.5,6.39,Card,2025-05-31,2025,5,May,31,Saturday,18,5,22,2,1
120082,401,2025-06-06 07:15:24,2025-06-06,Breakfast,Drive-Thru,Egg Muffin,Sausage Patty,1,3.61,0.0,0.36,5.17,Card,2025-06-06,2025,6,June,6,Friday,7,4,23,2,0
120083,501,2025-07-30 05:16:13,2025-07-30,Breakfast,Drive-Thru,Coffee,,1,1.79,0.0,0.12,1.91,Card,2025-07-30,2025,7,July,30,Wednesday,5,2,31,3,0
120084,402,2025-08-07 17:32:36,2025-08-07,Afternoon,Dine-In,Onion Rings,Small Size,1,2.91,0.0,0.17,2.78,Card,2025-08-07,2025,8,August,7,Thursday,17,3,32,3,0
120085,403,2025-06-21 14:02:40,2025-06-21,Lunch,Takeout,Double Cheeseburger Combo,,1,9.74,0.0,0.63,10.37,Card,2025-06-21,2025,6,June,21,Saturday,14,5,25,2,1
120086,103,2025-05-14 21:44:30,2025-05-14,Dinner,Delivery,Cheeseburger,,1,4.8,0.0,0.29,5.09,MobilePay,2025-05-14,2025,5,May,14,Wednesday,21,2,20,2,0
120087,403,2025-08-05 12:18:22,2025-08-05,Lunch,Drive-Thru,Spicy Chicken Combo,,1,9.45,0.0,0.8,10.25,Card,2025-08-05,2025,8,August,5,Tuesday,12,1,32,3,0
120088,402,2025-04-29 13:51:05,2025-04-29,Lunch,Drive-Thru,Chicken Sandwich Combo,Add Jalapenos,1,8.73,0.0,0.73,9.86,Card,2025-04-29,2025,4,April,29,Tuesday,13,1,18,2,0
120089,301,2025-05-08 13:39:27,2025-05-08,Lunch,Dine-In,Chicken Nuggets (10pc),,1,5.16,0.0,0.36,5.52,GiftCard,2025-05-08,2025,5,May,8,Thursday,13,3,19,2,0
120090,102,2025-05-19 11:23:24,2025-05-19,Morning,Drive-Thru,Coffee,Extra Ice,1,1.91,0.0,0.13,2.04,Card,2025-05-19,2025,5,May,19,Monday,11,0,21,2,0
120091,103,2025-06-21 11:16:49,2025-06-21,Lunch,Dine-In,Iced Tea,,2,2.02,0.0,0.26,4.3,Card,2025-06-21,2025,6,June,21,Saturday,11,5,25,2,1
120092,301,2025-05-11 15:35:34,2025-05-11,Afternoon,Dine-In,Chicken Nuggets (10pc),,2,4.76,0.0,0.76,10.28,Card,2025-05-11,2025,5,May,11,Sunday,15,6,19,2,1
120093,101,2025-05-28 13:29:51,2025-05-28,Lunch,Drive-Thru,Onion Rings,,1,3.05,0.0,0.27,3.32,Card,2025-05-28,2025,5,May,28,Wednesday,13,2,22,2,0
120094,102,2025-05-14 13:08:56,2025-05-14,Lunch,Drive-Thru,Chicken Sandwich Combo,No Onions,1,8.79,0.0,0.53,9.32,Card,2025-05-14,2025,5,May,14,Wednesday,13,2,20,2,0
120095,201,2025-04-11 13:54:05,2025-04-11,Lunch,Dine-In,Chicken Sandwich Combo,,1,8.26,0.0,0.78,9.04,Cash,2025-04-11,2025,4,April,11,Friday,13,4,15,2,0
120096,501,2025-04-13 11:52:55,2025-04-13,Lunch,Dine-In,Chicken Sandwich Combo,Add Bacon,1,9.14,0.0,0.61,10.75,Card,2025-04-13,2025,4,April,13,Sunday,11,6,15,2,1
120097,401,2025-07-31 11:10:28,2025-07-31,Lunch,Takeout,Spicy Chicken Sandwich,,2,5.74,0.0,0.92,12.4,Card,2025-07-31,2025,7,July,31,Thursday,11,3,31,3,0
120098,402,2025-06-13 06:09:06,2025-06-13,Breakfast,Dine-In,Latte,Light Ice,1,3.24,0.0,0.26,3.5,MobilePay,2025-06-13,2025,6,June,13,Friday,6,4,24,2,0
120099,402,2025-04-11 08:32:29,2025-04-11,Breakfast,Drive-Thru,Sausage Biscuit,,1,2.98,0.0,0.27,3.25,Unknown,2025-04-11,2025,4,April,11,Friday,8,4,15,2,0
120100,301,2025-06-24 18:25:03,2025-06-24,Dinner,Delivery,Chicken Sandwich Combo,,1,8.28,0.0,0.62,8.9,Card,2025-06-24,2025,6,June,24,Tuesday,18,1,26,2,0
120101,301,2025-06-27 20:48:09,2025-06-27,Dinner,Dine-In,Cheeseburger Combo,,1,8.28,0.0,0.75,9.03,Card,2025-06-27,2025,6,June,27,Friday,20,4,26,2,0
120102,301,2025-05-23 10:53:19,2025-05-23,Breakfast,Drive-Thru,Breakfast Burrito,Sausage Patty,1,3.65,0.73,0.27,4.39,Card,2025-05-23,2025,5,May,23,Friday,10,4,21,2,0
120103,101,2025-07-07 17:50:49,2025-07-07,Afternoon,Takeout,Chicken Nuggets (6pc),,1,3.54,0.0,0.3,3.84,Card,2025-07-07,2025,7,July,7,Monday,17,0,28,3,0
120104,101,2025-06-17 12:26:44,2025-06-17,Lunch,Dine-In,Chicken Sandwich Combo,No Pickles,1,8.91,0.0,0.85,9.76,Card,2025-06-17,2025,6,June,17,Tuesday,12,1,25,2,0
120105,403,2025-06-25 13:39:30,2025-06-25,Lunch,Dine-In,Chicken Sandwich Combo,,3,9.19,0.0,2.07,29.64,Card,2025-06-25,2025,6,June,25,Wednesday,13,2,26,2,0
120106,202,2025-05-28 14:57:25,2025-05-28,Lunch,Drive-Thru,French Fries,,1,3.17,0.0,0.25,3.42,GiftCard,2025-05-28,2025,5,May,28,Wednesday,14,2,22,2,0
120107,202,2025-05-12 20:08:06,2025-05-12,Dinner,Unknown,Spicy Chicken Sandwich,Add Jalapenos,1,5.71,0.0,0.4,6.51,Card,2025-05-12,2025,5,May,12,Monday,20,0,20,2,0
120108,403,2025-07-20 01:41:59,2025-07-20,Late Night,Drive-Thru,Onion Rings,No Sauce,1,3.21,0.0,0.21,3.42,Card,2025-07-20,2025,7,July,20,Sunday,1,6,29,3,1
120109,103,2025-04-24 12:59:58,2025-04-24,Lunch,Dine-In,Double Cheeseburger Combo,,1,9.95,0.0,0.75,10.7,Unknown,2025-04-24,2025,4,April,24,Thursday,12,3,17,2,0
120110,202,2025-05-19 14:56:08,2025-05-19,Lunch,Drive-Thru,Chicken Sandwich,,1,4.69,0.0,0.35,5.04,Unknown,2025-05-19,2025,5,May,19,Monday,14,0,21,2,0
120111,201,2025-04-22 10:57:25,2025-04-22,Breakfast,Drive-Thru,Egg Muffin,,3,3.23,0.0,0.7,10.39,Card,2025-04-22,2025,4,April,22,Tuesday,10,1,17,2,0
120112,501,2025-08-08 20:41:23,2025-08-08,Dinner,Delivery,Double Cheeseburger,,1,5.77,0.0,0.43,6.2,Card,2025-08-08,2025,8,August,8,Friday,20,4,32,3,0
120113,103,2025-06-12 13:26:44,2025-06-12,Lunch,Takeout,Chicken Sandwich Combo,Add Bacon,1,10.22,0.0,0.73,11.95,Card,2025-06-12,2025,6,June,12,Thursday,13,3,24,2,0
120114,403,2025-07-15 19:10:20,2025-07-15,Dinner,Drive-Thru,Spicy Chicken Combo,,1,9.19,0.0,0.83,10.02,Card,2025-07-15,2025,7,July,15,Tuesday,19,1,29,3,0
120115,402,2025-07-01 17:01:25,2025-07-01,Afternoon,Dine-In,French Fries,,1,2.73,0.0,0.26,2.99,Card,2025-07-01,2025,7,July,1,Tuesday,17,1,27,3,0
120116,401,2025-07-23 10:46:41,2025-07-23,Breakfast,Drive-Thru,Bottled Water,,1,1.44,0.0,0.17,1.91,Card,2025-07-23,2025,7,July,23,Wednesday,10,2,30,3,0
120117,103,2025-07-12 18:48:01,2025-07-12,Dinner,Drive-Thru,Spicy Chicken Combo,,1,8.71,0.0,0.78,9.49,Card,2025-07-12,2025,7,July,12,Saturday,18,5,28,3,1
120118,401,2025-04-12 15:15:13,2025-04-12,Afternoon,Dine-In,Soft Drink (Medium),No Ice,1,1.84,0.37,0.11,1.58,Cash,2025-04-12,2025,4,April,12,Saturday,15,5,15,2,1
120119,201,2025-05-08 20:36:38,2025-05-08,Dinner,Drive-Thru,Chicken Sandwich,Add Jalapenos,1,5.67,0.0,0.36,6.43,Cash,2025-05-08,2025,5,May,8,Thursday,20,3,19,2,0
120120,403,2025-06-26 14:50:33,2025-06-26,Lunch,Dine-In,Double Cheeseburger,,1,6.07,0.0,0.44,6.51,Card,2025-06-26,2025,6,June,26,Thursday,14,3,26,2,0
120121,401,2025-07-23 14:15:16,2025-07-23,Lunch,Dine-In,Chicken Nuggets (10pc),,1,4.69,0.0,0.34,5.03,Cash,2025-07-23,2025,7,July,23,Wednesday,14,2,30,3,0
120122,501,2025-05-30 19:30:13,2025-05-30,Dinner,Drive-Thru,Iced Tea,,2,2.08,0.0,0.27,4.43,Card,2025-05-30,2025,5,May,30,Friday,19,4,22,2,0
120123,401,2025-05-31 20:49:18,2025-05-31,Dinner,Takeout,Veggie Burger,,1,4.75,0.0,0.31,5.06,Cash,2025-05-31,2025,5,May,31,Saturday,20,5,22,2,1
120124,301,2025-05-29 12:47:09,2025-05-29,Lunch,Dine-In,Chicken Sandwich Combo,Gluten-Free Bun,1,9.28,0.0,0.87,11.15,Cash,2025-05-29,2025,5,May,29,Thursday,12,3,22,2,0
120125,402,2025-05-19 01:29:10,2025-05-19,Late Night,Drive-Thru,Double Cheeseburger,,1,6.65,0.0,0.4,7.05,Card,2025-05-19,2025,5,May,19,Monday,1,0,21,2,0
120126,101,2025-04-24 12:04:45,2025-04-24,Lunch,Dine-In,Cheeseburger Combo,,1,7.99,0.0,0.72,8.71,Unknown,2025-04-24,2025,4,April,24,Thursday,12,3,17,2,0
120127,202,2025-07-04 11:32:52,2025-07-04,Lunch,Delivery,Chicken Nuggets (10pc),,3,4.8,0.0,1.04,15.44,Card,2025-07-04,2025,7,July,4,Friday,11,4,27,3,0
120128,301,2025-06-12 23:44:14,2025-06-12,Late Night,Takeout,Cheeseburger,,1,4.52,0.9,0.31,3.93,MobilePay,2025-06-12,2025,6,June,12,Thursday,23,3,24,2,0
120129,401,2025-06-28 17:54:06,2025-06-28,Afternoon,Drive-Thru,French Fries,Extra Sauce,1,2.5,0.0,0.21,2.96,MobilePay,2025-06-28,2025,6,June,28,Saturday,17,5,26,2,1
120130,201,2025-05-05 17:52:25,2025-05-05,Afternoon,Drive-Thru,Iced Tea,Sugar-Free Syrup,1,1.68,0.0,0.17,2.15,Card,2025-05-05,2025,5,May,5,Monday,17,0,19,2,0
120131,301,2025-06-15 06:53:04,2025-06-15,Breakfast,Takeout,Milkshake,Almond Milk,1,4.01,0.0,0.42,5.13,Cash,2025-06-15,2025,6,June,15,Sunday,6,6,24,2,1
120132,401,2025-05-22 07:51:15,2025-05-22,Breakfast,Drive-Thru,Egg Muffin,,1,2.97,0.0,0.19,3.16,Card,2025-05-22,2025,5,May,22,Thursday,7,3,21,2,0
120133,102,2025-06-13 11:06:01,2025-06-13,Morning,Dine-In,Soft Drink (Medium),Sugar-Free Syrup,1,1.78,0.0,0.14,2.22,Cash,2025-06-13,2025,6,June,13,Friday,11,4,24,2,0
120134,401,2025-07-06 07:17:31,2025-07-06,Breakfast,Dine-In,Hash Browns,,1,1.71,0.0,0.12,1.83,Card,2025-07-06,2025,7,July,6,Sunday,7,6,27,3,1
